Country,,Date,Disease,Dies
США,0,07.05.22,81858744,997503
США,1,06.05.22,81831854,997318
США,2,05.05.22,81694580,996964
США,3,04.05.22,81620383,996704
США,4,03.05.22,81506075,994744
США,5,02.05.22,81444332,993999
США,6,01.05.22,81362688,993733
США,7,30.04.22,81346535,993712
США,8,29.04.22,81323186,993588
США,9,28.04.22,81263135,993164
США,10,27.04.22,81189789,992808
США,11,26.04.22,81101145,992008
США,12,25.04.22,81055811,991677
США,13,24.04.22,80986573,991394
США,14,23.04.22,80974208,991377
США,15,22.04.22,80954558,991327
США,16,21.04.22,80864539,990773
США,17,20.04.22,80805017,990390
США,18,19.04.22,80736117,989495
США,19,18.04.22,80696872,989056
США,20,17.04.22,80635482,988798
США,21,16.04.22,80625120,988609
США,22,15.04.22,80612681,988558
США,23,14.04.22,80573532,988121
США,24,13.04.22,80518989,987343
США,25,12.04.22,80477797,986387
США,26,11.04.22,80449944,985826
США,27,10.04.22,80406370,985504
США,28,09.04.22,80397170,985482
США,29,08.04.22,80384319,985205
США,30,07.04.22,80296887,984571
США,31,06.04.22,80249869,983941
США,32,05.04.22,80209383,982700
США,33,04.04.22,80183801,982223
США,34,03.04.22,80155304,981768
США,35,02.04.22,80151068,981760
США,36,01.04.22,80139338,981610
США,37,31.03.22,80107303,980785
США,38,30.03.22,80061842,980269
США,39,29.03.22,80022811,979101
США,40,28.03.22,79998748,978123
США,41,27.03.22,79959836,977064
США,42,26.03.22,79948075,977008
США,43,25.03.22,79938661,976864
США,44,24.03.22,79892237,976250
США,45,23.03.22,79849247,975394
США,46,22.03.22,79808558,973766
США,47,21.03.22,79783990,973209
США,48,20.03.22,79741713,971681
США,49,19.03.22,79730270,971599
США,50,18.03.22,79719388,971329
США,51,17.03.22,79688041,970529
США,52,16.03.22,79634875,969026
США,53,15.03.22,79588738,967202
США,54,14.03.22,79564354,966121
США,55,13.03.22,79528961,964802
США,56,12.03.22,79517911,964614
США,57,11.03.22,79507694,964359
США,58,10.03.22,79457977,962720
США,59,09.03.22,79411388,960951
США,60,08.03.22,79373683,958932
США,61,07.03.22,79343929,957529
США,62,06.03.22,79279840,955815
США,63,05.03.22,79267444,955610
США,64,04.03.22,79252523,955319
США,65,03.03.22,79201258,953584
США,66,02.03.22,79152640,951880
США,67,01.03.22,79099228,949790
США,68,28.02.22,79052519,948017
США,69,27.02.22,78953596,945865
США,70,26.02.22,78935375,945644
США,71,25.02.22,78887963,944911
США,72,24.02.22,78813584,942838
США,73,23.02.22,78746506,939876
США,74,22.02.22,78661358,936783
США,75,21.02.22,78572010,934614
США,76,20.02.22,78489122,933703
США,77,19.02.22,78466121,933268
США,78,18.02.22,78434715,932614
США,79,17.02.22,78289539,930128
США,80,16.02.22,78187841,927209
США,81,15.02.22,78073003,924022
США,82,14.02.22,77961828,921458
США,83,13.02.22,77791646,918260
США,84,12.02.22,77733334,917698
США,85,11.02.22,77681472,916889
США,86,10.02.22,77472152,914199
США,87,09.02.22,77300879,910934
США,88,08.02.22,77112479,907506
США,89,07.02.22,76898215,904527
США,90,06.02.22,76551822,901465
США,91,05.02.22,76468358,901012
США,92,04.02.22,76381952,900137
США,93,03.02.22,76027012,896030
США,94,02.02.22,75752221,893576
США,95,01.02.22,75422719,890004
США,96,31.01.22,75097338,886672
США,97,30.01.22,74555112,884052
США,98,29.01.22,74357179,883587
США,99,28.01.22,74178562,882426
США,100,27.01.22,73564529,878328
США,101,26.01.22,73058263,875749
США,102,25.01.22,72434260,871918
США,103,24.01.22,71941130,868748
США,104,23.01.22,71019151,866584
США,105,22.01.22,70653756,865880
США,106,21.01.22,70351280,864915
США,107,20.01.22,69510296,861559
США,108,19.01.22,68777782,858664
США,109,18.01.22,67869801,855229
США,110,17.01.22,66740462,852546
США,111,16.01.22,66065516,851525
США,112,15.01.22,65585769,850786
США,113,14.01.22,65177487,849815
США,114,13.01.22,64297543,847077
США,115,12.01.22,63436245,844559
США,116,11.01.22,62587703,841753
США,117,10.01.22,61800485,839284
США,118,09.01.22,60416690,837272
США,119,08.01.22,59931741,836684
США,120,07.01.22,59534080,835870
США,121,06.01.22,58664396,833469
США,122,05.01.22,57829451,831412
США,123,04.01.22,57166940,829230
США,124,03.01.22,56354828,826921
США,125,02.01.22,55309989,825081
США,126,01.01.22,55024111,824703
США,127,31.12.21,54835397,824314
США,128,30.12.21,54321804,823603
США,129,29.12.21,53731144,822108
США,130,28.12.21,53229051,819753
США,131,27.12.21,52867054,817438
США,132,26.12.21,52366507,815645
США,133,25.12.21,52188134,815296
США,134,24.12.21,52101485,815067
США,135,23.12.21,51852982,814373
США,136,22.12.21,51583228,812988
США,137,21.12.21,51339479,808800
США,138,20.12.21,51160078,806849
США,139,19.12.21,50920033,805270
США,140,18.12.21,50830833,804973
США,141,17.12.21,50751072,804329
США,142,16.12.21,50558421,802479
США,143,15.12.21,50416695,801186
США,144,14.12.21,50273069,798933
США,145,13.12.21,50158041,797384
США,146,12.12.21,49972548,795977
США,147,11.12.21,49920244,795625
США,148,10.12.21,49863661,795025
США,149,09.12.21,49705462,793226
США,150,08.12.21,49580935,791654
США,151,07.12.21,49431030,789838
США,152,06.12.21,49317767,788274
США,153,05.12.21,49140079,786857
США,154,04.12.21,49084899,786470
США,155,03.12.21,49018557,785800
США,156,02.12.21,48859937,784221
США,157,01.12.21,48721085,780317
США,158,30.11.21,48583978,778263
США,159,29.11.21,48466877,776627
США,160,28.11.21,48280582,774691
США,161,27.11.21,48237436,774446
США,162,26.11.21,48210898,774134
США,163,25.11.21,48157477,773762
США,164,24.11.21,48118158,773291
США,165,23.11.21,48006579,771581
США,166,22.11.21,47915235,770207
США,167,21.11.21,47770619,768946
США,168,20.11.21,47730790,768730
США,169,19.11.21,47685434,768279
США,170,18.11.21,47558567,766489
США,171,17.11.21,47448735,765138
США,172,16.11.21,47335899,763492
США,173,15.11.21,47248634,762160
США,174,14.11.21,47114595,760852
США,175,13.11.21,47082685,760658
США,176,12.11.21,47038738,760098
США,177,11.11.21,46895239,757638
США,178,10.11.21,46837597,756766
США,179,09.11.21,46742530,755087
США,180,08.11.21,46664172,753660
