,Date,Disease,Dies
0,09.05.22,2763989,43404
1,08.05.22,2763721,43385
2,07.05.22,2763325,43369
3,06.05.22,2762938,43351
4,05.05.22,2762412,43332
5,04.05.22,2762019,43316
6,03.05.22,2761737,43297
7,02.05.22,2761487,43279
8,01.05.22,2761153,43262
9,30.04.22,2760698,43243
10,29.04.22,2760213,43225
11,28.04.22,2759643,43208
12,27.04.22,2759014,43190
13,26.04.22,2758254,43174
14,25.04.22,2757876,43155
15,24.04.22,2757421,43138
16,23.04.22,2756837,43120
17,22.04.22,2756235,43105
18,21.04.22,2755591,43089
19,20.04.22,2754975,43071
20,19.04.22,2754226,43052
21,18.04.22,2753810,43034
22,17.04.22,2753313,43017
23,16.04.22,2752710,42998
24,15.04.22,2752076,42982
25,14.04.22,2751310,42964
26,13.04.22,2750442,42947
27,12.04.22,2749509,42928
28,11.04.22,2749020,42910
29,10.04.22,2748431,42891
30,09.04.22,2747689,42873
31,08.04.22,2746888,42856
32,07.04.22,2746033,42837
33,06.04.22,2745029,42817
34,05.04.22,2743957,42799
35,04.04.22,2743361,42778
36,03.04.22,2742663,42758
37,02.04.22,2741828,42736
38,01.04.22,2740834,42715
39,31.03.22,2739796,42696
40,30.03.22,2738666,42674
41,29.03.22,2737501,42653
42,28.03.22,2736793,42630
43,27.03.22,2736090,42610
44,26.03.22,2735223,42588
45,25.03.22,2734298,42565
46,24.03.22,2733212,42540
47,23.03.22,2732049,42514
48,22.03.22,2730743,42486
49,21.03.22,2730020,42456
50,20.03.22,2729249,42427
51,19.03.22,2728321,42396
52,18.03.22,2727394,42366
53,17.03.22,2726264,42328
54,16.03.22,2724912,42286
55,15.03.22,2723291,42246
56,14.03.22,2722292,42205
57,13.03.22,2721335,42161
58,12.03.22,2719898,42112
59,11.03.22,2718243,42060
60,10.03.22,2716141,42002
61,09.03.22,2714926,41945
62,08.03.22,2713634,41886
63,07.03.22,2712483,41819
64,06.03.22,2710941,41754
65,05.03.22,2709040,41679
66,04.03.22,2706980,41602
67,03.03.22,2704517,41523
68,02.03.22,2701834,41441
69,01.03.22,2698810,41360
70,28.02.22,2696744,41276
71,27.02.22,2694160,41196
72,26.02.22,2691110,41115
73,25.02.22,2687163,41032
74,24.02.22,2683830,40948
75,23.02.22,2679100,40866
76,22.02.22,2673436,40783
77,21.02.22,2669186,40698
78,20.02.22,2664189,40615
79,19.02.22,2657801,40531
80,18.02.22,2650927,40444
81,17.02.22,2642619,40358
82,16.02.22,2632914,40273
83,15.02.22,2621652,40186
84,14.02.22,2613492,40102
85,13.02.22,2603876,40020
86,12.02.22,2591380,39934
87,11.02.22,2577044,39849
88,10.02.22,2558503,39768
89,09.02.22,2535756,39684
90,08.02.22,2524235,39602
91,07.02.22,2511333,39517
92,06.02.22,2495891,39434
93,05.02.22,2477035,39353
94,04.02.22,2454591,39271
95,03.02.22,2429572,39192
96,02.02.22,2402668,39116
97,01.02.22,2378884,39038
98,31.01.22,2357351,38962
99,30.01.22,2333934,38887
100,29.01.22,2309904,38810
101,28.01.22,2283416,38734
102,27.01.22,2259422,38660
103,26.01.22,2232836,38588
104,25.01.22,2212980,38514
105,24.01.22,2194045,38439
106,23.01.22,2174536,38368
107,22.01.22,2157008,38295
108,21.01.22,2140914,38226
109,20.01.22,2124927,38154
110,19.01.22,2113370,38084
111,18.01.22,2104575,38013
112,17.01.22,2096233,37944
113,16.01.22,2088704,37877
114,15.01.22,2082224,37807
115,14.01.22,2075669,37739
116,13.01.22,2069957,37670
117,12.01.22,2064467,37599
118,11.01.22,2060459,37533
119,10.01.22,2055824,37465
120,09.01.22,2053046,37395
121,08.01.22,2049772,37324
122,07.01.22,2046700,37255
123,06.01.22,2043006,37183
124,05.01.22,2040649,37116
125,04.01.22,2038342,37045
126,03.01.22,2036375,36977
127,02.01.22,2035040,36907
128,01.01.22,2033216,36838
