,Date,Disease,Dies
0,12.05.22,2764737,43455
1,11.05.22,2764443,43437
2,10.05.22,2764226,43421
3,24.05.22,2768577,43641
4,23.05.22,2768405,43626
5,22.05.22,2768176,43612
6,21.05.22,2767898,43599
7,20.05.22,2767561,43584
8,19.05.22,2767193,43570
9,18.05.22,2766828,43554
10,17.05.22,2766448,43537
11,16.05.22,2766236,43518
12,15.05.22,2765948,43500
13,14.05.22,2765613,43486
14,13.05.22,2765211,43470
15,12.05.22,2764737,43455
16,11.05.22,2764443,43437
17,10.05.22,2764226,43421
18,07.05.22,2763325,43369
19,06.05.22,2762938,43351
20,05.05.22,2762412,43332
21,04.05.22,2762019,43316
22,03.05.22,2761737,43297
23,02.05.22,2761487,43279
24,01.05.22,2761153,43262
25,30.04.22,2760698,43243
26,29.04.22,2760213,43225
27,28.04.22,2759643,43208
28,27.04.22,2759014,43190
29,26.04.22,2758254,43174
30,25.04.22,2757876,43155
31,24.04.22,2757421,43138
32,23.04.22,2756837,43120
33,22.04.22,2756235,43105
34,21.04.22,2755591,43089
35,20.04.22,2754975,43071
36,19.04.22,2754226,43052
37,18.04.22,2753810,43034
38,17.04.22,2753313,43017
39,16.04.22,2752710,42998
40,15.04.22,2752076,42982
41,14.04.22,2751310,42964
42,13.04.22,2750442,42947
43,12.04.22,2749509,42928
44,11.04.22,2749020,42910
45,10.04.22,2748431,42891
46,09.04.22,2747689,42873
47,08.04.22,2746888,42856
48,07.04.22,2746033,42837
49,06.04.22,2745029,42817
50,05.04.22,2743957,42799
51,04.04.22,2743361,42778
52,03.04.22,2742663,42758
53,02.04.22,2741828,42736
54,01.04.22,2740834,42715
55,31.03.22,2739796,42696
56,30.03.22,2738666,42674
57,29.03.22,2737501,42653
58,28.03.22,2736793,42630
59,27.03.22,2736090,42610
60,26.03.22,2735223,42588
61,25.03.22,2734298,42565
62,24.03.22,2733212,42540
63,23.03.22,2732049,42514
64,22.03.22,2730743,42486
65,21.03.22,2730020,42456
66,20.03.22,2729249,42427
67,19.03.22,2728321,42396
68,18.03.22,2727394,42366
69,17.03.22,2726264,42328
70,16.03.22,2724912,42286
71,15.03.22,2723291,42246
72,14.03.22,2722292,42205
73,13.03.22,2721335,42161
74,12.03.22,2719898,42112
75,11.03.22,2718243,42060
76,10.03.22,2716141,42002
77,09.03.22,2714926,41945
78,08.03.22,2713634,41886
79,07.03.22,2712483,41819
80,06.03.22,2710941,41754
81,05.03.22,2709040,41679
82,04.03.22,2706980,41602
83,03.03.22,2704517,41523
84,02.03.22,2701834,41441
85,01.03.22,2698810,41360
86,28.02.22,2696744,41276
87,27.02.22,2694160,41196
88,26.02.22,2691110,41115
89,25.02.22,2687163,41032
90,24.02.22,2683830,40948
91,23.02.22,2679100,40866
92,22.02.22,2673436,40783
